"encriptado"	"periodo"	"sat entel"	"literal"
"117"	"sJPb6f3I2fjb"	"2018_q1"	7	"S C"
"118"	"Lo0Y1i0DHLqn"	"2018_q1"	6	"SC"
"119"	"jG0VhdwRK8p9"	"2018_q2"	5	"LA SEÑAL SE ESTA PONIENDO MALA SE ESTA HECHANDO A PERDER TODO LO QUE ES ANTENTA TENEMOS MUY MALA SEÑAL"
"120"	"QxmmbMJwVH1L"	"2018_q1"	6	"SC"
"121"	"ZfjB5rObILV8"	"2020_q2"	6	"MAS CONTACTO CON EL CLIENTE  MAS PREOCUPACION POR EL CLIENTE"
"122"	"Z9BQ9jv67P58"	"2019_q2"	5	"MEJORA LA CALIDAD DE SEÑAL EL TEMA DE LA ATENCION QUE CONTRATEN CHILENOS"
"123"	"Z9BQ9jv67P58"	"2018_q2"	4	"NECESITO SISTEMA DE TELEFONIA RED FIJA E INTERNET PARA ARICA Y AUN NO TENGO RERSPUESTA (FACTIBILIDAD TECNICA)"
"124"	"Z9BQ9jv67P58"	"2020_q2"	5	"TENGO 13 LINEAS Y NO HAN SIDO CAPACES DE DARME UN TELEFONO  NINGUNA PROMOCION NUNCA TIENEN NADA PARA OFRECER  Y DE OTRAS COMPAÑIAS REGALAN TELEFONOS DE ALTA GAMA  QUE SEA MAS ACCESIBLE CON LOS TELEFONOS"
"125"	"Z9BQ9jv67P58"	"2018_q1"	2	"QUE SI VAN A ASIGNAR A UN EJECUTIVO QUE HAGA BIEN SU TRABAJO"
"126"	"Dl4LGcplyjRi"	"2018_q1"	5	"MUCHA GENTE POCA ATENCION EN LA SUCURSAL DEL CATORCE DE VICUÑA MACKENNA   EN   SERAFIN ZAMORA"
"127"	"McBJBbeuhyhj"	"2020_q2"	6	"NO ME GUSTA LA GRABADORA ESTAR INFORMADO CON RESPECTO A OFERTAS  DE CAMBIO DE PLAN  RECIBIR LA INFORMACION MAS RAPIDA UNO TIENE QUE  PREGUNTAR PARA ACCEDER  A OFERTAS TENGO BUENA OPINION RESPECTO  A ENTEL LLEVO MUCHOS AÑOS"
"128"	"McBJBbeuhyhj"	"2019_q1"	6	"ME MOLESTAN LAS GRABACIONES CUANDO UNO LLAMA UNO QUIERE SER INMEDIATAMENTE CON UN EJECUTIVO Y HAY QUE ESPERAR"
"129"	"JWOycaub239p"	"2019_q1"	6	"QUE NO FUERA TAN BUROCRATICA Y TODAS LA SOLUCIONES SEAN EN STGO QUE HUBIERAN EJECUTIVOS EN LA ZONA"
"130"	"JWOycaub239p"	"2020_q1"	7	"MAS LIBERTAD A LOS EJECUTIVOS PARA QUE TOMEN DECICIONES."
"131"	"JWOycaub239p"	"2020_q2"	6	"QUE LOS EJECUTIVOS TENGAN MAS LIBERTAD DE ACCION."
"132"	"JWOycaub239p"	"2020_q1"	7	"MAS LIBERTAD A LOS EJECUTIVOS PARA QUE TOMEN DECICIONES."
"133"	"iw3RaKWYeCuu"	"2020_q1"	6	"TENER LOS NUMEROS OCULTOS QUE TENIAN ANTES- RETOMAR ESO"
"134"	"iw3RaKWYeCuu"	"2020_q2"	7	"HAY PROBLEMA CON LA SEÑAL SE PASA A 3 G ESTA MUCHO Y CUANDO ESTA ASI NO FUNCIONA PARA LLAMAR"
"135"	"SC52ZPr5GVou"	"2018_q1"	5	"SC"
"136"	"SC52ZPr5GVou"	"2018_q2"	4	"0"
"137"	"SC52ZPr5GVou"	"2019_q2"	2	"QUE LAS PERSONAS QUE ME ATIENDEN  LOS PROBLEMAS  TENGAN MAS CLARIDAD EN LO QUE  LES ESTOY  EXPLICANDO PORQUE TENIA UN RECLAMO TELEFONICO  NO TENIAN MI CORREO  Y NO MANDARON EL RESULTADO  DEL  PRIMER RECLAMO"
"138"	"SC52ZPr5GVou"	"2018_q1"	5	"SC"
"139"	"GdKtliTP4QWz"	"2018_q1"	6	"LA EJECUTIVA ES PESIMA, LA EJECUTIVA QUE LLAMABA AL SERVICIO AL CLIENTE EXCELENTE"
"140"	"uwxrWmlbBxUv"	"2020_q1"	2	"MEJORAR LA SEÑAL NO SE ESCUCHAN TODO EL TIEMPO"
"141"	"OUTjub7LOS0c"	"2020_q1"	5	"QUE MEJORE LA SEÑAL DE INTERNET  Y ESTE TIEMPO HA SIDO UN TEMA"
"142"	"v5trGeBKx1q8"	"2019_q2"	5	"NO SABRIA"
"143"	"cnvOGuNP0jNC"	"2018_q2"	5	"0"
"144"	"EnCpyen86nxk"	"2018_q2"	6	"SC"
"145"	"1d4zHoYaPdvQ"	"2018_q1"	7	"SC"
"146"	"PWmPJkhKi5zC"	"2018_q1"	2	"SC"
"147"	"XVkO3lfPOIvj"	"2018_q2"	6	"MAS PERSONAL CUANDO UNO VA A HACER LAS GESTIONES DE EMPRESAS ES MUCHA LA DEMORA."
"148"	"tOf0vbalUMW2"	"2018_q2"	6	"SC"
"149"	"ELCbuJ02kx23"	"2018_q2"	5	"MEJORARLA BANDAANCHA DEINTERNET"
"150"	"ZTnOAI1iLl7y"	"2021_q1"	1	"UNA ATENCION PERSONALIZADA Y PREOCUPADA DE PARTIDA"
"151"	"GIYYdLRiLewL"	"2020_q2"	6	"MAS COMUNICACION PARA SABER SOBRENUEVOS SERVCIOS"
"152"	"GIYYdLRiLewL"	"2020_q1"	6	"QUE TUVIERA PRODUCTOS PARA LOS CLIENTES QUE PUDIERAN COMPRAR POR EJEMPLO TELEFONOS Y A BUEN PRECIO"
"153"	"F5rWhKfuQ2VL"	"2018_q2"	5	"SC"
"154"	"ZygDjF6YxlRd"	"2018_q1"	7	"sc"
"155"	"vHSGtfL8fBvG"	"2018_q1"	5	"SC"
"156"	"KdNuvd6MUnR5"	"2019_q1"	5	"0"
"157"	"KdNuvd6MUnR5"	"2018_q2"	5	"NOSE"
"158"	"DFeACMx7dptp"	"2018_q2"	7	"SC"
"159"	"DFeACMx7dptp"	"2018_q1"	7	"S C"
"160"	"DFeACMx7dptp"	"2021_q1"	3	"QUE SEAN MAS RAPIDOS PARA SATISFACER AL CLIENTE Y MODERNIZARSE CON LAS TARIFAS"
"161"	"b9RH3s0uLrZC"	"2019_q2"	7	"MAS COMPROMISO CON LOS CLIENTES."
"162"	"PKhE86dxKnGa"	"2018_q1"	6	"SC"
"163"	"HeysxaQZW0r7"	"2018_q1"	4	"SC"
"164"	"qtLCgKncTTdI"	"2020_q2"	5	"MAS FACILIDAD PARA COMUNICARSE SOLUCIONES MAS RAPIDAS"
"165"	"qtLCgKncTTdI"	"2019_q2"	5	"MEJOR SERVICIO, MAS ECONOMICO."
"166"	"cqx9NkdNWzNl"	"2019_q1"	7	"COMUNICARSE CON EL CLIENTE"
"167"	"fGWuz7MQj9bm"	"2018_q1"	7	"S/C"
"168"	"Ez0igeOpGUfz"	"2018_q2"	1	"0"
"169"	"ifhd6Ipkv7Dz"	"2019_q1"	7	"NADA"
"170"	"ifhd6Ipkv7Dz"	"2020_q2"	5	"HASTA EL MOMENTO TODO HA ESTADO BIEN"
"171"	"rQnfkxYeB3Xj"	"2020_q2"	5	"TENER SERVCIO MAS PERSONALIZADA/ ASIGNAN EJECUTIVO EN PAPEL PERO TEORICAMENTE ES CORRE0"
"172"	"rQnfkxYeB3Xj"	"2021_q1"	6	"EL TRATO CON LA EMPRESA FUE HACER EL CONVENIO UN AÑO ATRAS NO A TENIDO NECESIDAD DE LLAMARLOS"
"173"	"L9qpDtQ4ROTu"	"2018_q1"	6	"SC"
"174"	"L9qpDtQ4ROTu"	"2019_q1"	5	"0"
"175"	"L9qpDtQ4ROTu"	"2018_q2"	6	"EN ESTE MOMENTO NO SE LE OCURRE NADA"
