...1	ola - Ola Medicion	F1 - F1. ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	"P1 - I. MODULO INDICADORES GENERALES 
    
       1. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil? (MÚLTILPLE; LEER OPCIONES)"	EMPTY LABEL - No Information Provided...5	P2 - P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	"P3 - AHORA HABLAREMOS DE SU RELACIÓN CON ENTEL 
     
           3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?"	p4_COD - 4. ¿Por qué evalúa con esa nota? (sondear y profundizar) LITERAL	"P5__1 - a)	Entel es una empresa con buena imagen en general  :"	"P6 - 6.	¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?"	"P7 - 7.	Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?"	P8__1 - a) Precio del Plan en relación al mercado (Competitividad) :	P8__2 - b) Competitividad de planes en cuanto a minutos :	P8__3 - c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular :	P8__4 - d) El precio de los equipos en relación al mercado. :	"P9 - 9.	Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__4 - Solicitar cambio de plan :	P10__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__4 - Solicitar cambio de plan :	P11__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__4 - Solicitar cambio de plan :	P12__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa (Todos) :	P13__5 - Tiendas/ Sucursales (Todos) :	P13__6 - App administradores empresas (Todos) :	P14__1 - Ejecutivo asignado :	P14__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P14__3 - Call Center Empresa :	P14__4 - Página Web Empresa (Todos) :	P14__5 - Tiendas/ Sucursales (Todos) :	P14__6 - App administradores empresas (Todos) :	"P15__1 - a)	El Proceso de Facturación en general :"	"P15__2 - b)	La Exactitud de los cobros :"	"P15__3 - c)	La Claridad de la factura :"	"P15__4 - d)	La Facilidad para realizar el pago :"	"P16 - IV.	MODULO INCIDENCIAS 
             16. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?"	P17_COD - 17. ¿Qué problemas ha tenido? Sondear	"P18 - LEALTAD 
         18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P19 - 19. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P20 - 20. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P23 - 23.	¿Cuál es el rubro de su empresa?"	"P25 - 25.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P28 - 28.	Sexo  (No preguntar):"	"P29 - 29.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...61	EMPTY LABEL - No Information Provided...62	EMPTY LABEL - No Information Provided...63	EMPTY LABEL - No Information Provided...64	EMPTY LABEL - No Information Provided...65
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala señal	6	6	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	Si	No	Si	Si	No	No	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	2.Call center	NA	3.Página Web Entel Empresas	2.Call center	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala señal,Mala cobertura	7. En absoluto acuerdo	5	6	5	6	6	5	6	No	No	No	Si	Si	Si	NA	NA	NA	6	5	6	NA	NA	NA	2.Call center	2.Call center	2.Call center	NA	NA	Sí	No	No	No	NA	NA	6	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	SI	Cobertura sin especificar,Mala señal	7. Muy Satisfecho	6	No	PEQUEÑA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	6	Buen servicio / calidad servicio,Buena señal	6	7. Muy Satisfecho	6	6	6	5	4	6	No	No	No	No	No	Si	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	Sí	Sí	No	No	No	No	6	6	NA	NA	NA	NA	4	7. Muy Satisfecho	7. Muy Satisfecho	2	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena cobertura,Rapida atencion ejecutivo,Buenos precios / precios adecuados	7. En absoluto acuerdo	6	6	5	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	No	Si	No	No	No	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	Sí	No	No	Sí	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Buena cobertura	6	6	6	5	Ns/Nr	Ns/Nr	6	7. Muy Satisfecho	No	No	No	No	Si	No	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	No	No	Sí	No	NA	NA	NA	NA	6	NA	6	7. Muy Satisfecho	6	6	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Cambios de planes arbitrarios,Mal servicio internet / señal	5	7. Muy Satisfecho	7. Muy Satisfecho	4	7. Muy Satisfecho	4	5	5	No	Si	No	Si	No	No	NA	5	NA	4	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	5	6	NA	NA	4	4	6	5	SI	Señal de internet, se cae, lento	5	6	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Claro	NA	Entel	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	6	6	7. Muy Satisfecho	7. Muy Satisfecho	6	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	5	NA	NA	6	7. Muy Satisfecho	5	7. Muy Satisfecho	NO	NA	6	6	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Fijo	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,No ha tenido problemas	6	7. Muy Satisfecho	4	5	5	5	6	6	No	Si	No	No	Si	No	NA	6	NA	NA	6	NA	NA	2.Call center	NA	NA	2.Call center	NA	NA	NA	Sí	No	No	No	NA	NA	6	NA	NA	NA	6	6	5	7. Muy Satisfecho	SI	Cortes de servicios	5	6	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	5	Buen servicio / calidad servicio,Mala atención	6	6	6	5	5	5	6	5	No	Si	No	Si	No	Si	NA	5	NA	6	NA	6	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	Sí	NA	No	Sí	No	No	6	NA	NA	6	NA	NA	4	5	5	7. Muy Satisfecho	NO	NA	6	6	No	GGEE	NA	NA	Hombre	SANTIAGO	AP	GGEE	EMPRESAS	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Mal servicio internet / señal	5	5	3	4	5	6	Ns/Nr	Ns/Nr	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	5	5	7. Muy Satisfecho	NO	NA	5	5	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	Ns/Nr	7. Muy Satisfecho	Si	Si	Si	No	No	No	7. Muy Satisfecho	5	5	NA	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	No	No	No	Sí	No	No	NA	NA	NA	5	NA	NA	6	6	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio internet	4	6	7. Muy Satisfecho	5	5	5	6	7. Muy Satisfecho	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	No	Sí	Sí	No	NA	NA	NA	6	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	VTR	Entel	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	6	Ns/Nr	Ns/Nr	Ns/Nr	Ns/Nr	6	No	No	No	Si	No	No	NA	NA	NA	5	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,Buenos precios / precios adecuados	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	5	5	5	4	7. Muy Satisfecho	No	No	Si	Si	No	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	5.App Administradores Empresa	2.Call center	NA	NA	NA	NA	Sí	Sí	No	Sí	NA	NA	7. Muy Satisfecho	6	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Cambios de planes arbitrarios	6	7. Muy Satisfecho	6	6	7. Muy Satisfecho	7. Muy Satisfecho	6	4	No	No	No	No	Si	No	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	5	6	5	NO	NA	7. Muy Satisfecho	6	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Rápida solución de problemas	7. En absoluto acuerdo	6	5	5	5	6	6	7. Muy Satisfecho	No	Si	No	No	No	No	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	5	NA	6	6	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	6	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Buena señal	6	6	6	5	5	5	5	6	No	No	Si	Si	No	No	NA	NA	6	6	NA	NA	NA	NA	2.Call center	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	5	5	5	6	NO	NA	6	6	No	MICRO	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena atencion,Buena señal,Buena cobertura	6	6	6	Ns/Nr	6	6	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	NO	NA	6	6	No	MEDIANA	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mal servicio internet / señal	7. En absoluto acuerdo	6	5	Ns/Nr	Ns/Nr	Ns/Nr	Ns/Nr	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Sí	No	No	NA	NA	NA	6	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	6	No	MICRO	NA	NA	Mujer	SANTIAGO	AP	GGEE	EMPRESAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala cobertura	4	2	4	5	Ns/Nr	Ns/Nr	6	5	Si	Si	Si	Si	No	No	5	6	6	5	NA	NA	4.En tiendas/ sucursales	3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center	NA	NA	NA	NA	Sí	Sí	Sí	No	NA	NA	5	6	7. Muy Satisfecho	NA	5	6	3	6	SI	Cobertura sin especificar	6	4	No	MEDIANA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Claro	NA	Entel	7. Muy Satisfecho	Buen servicio / calidad servicio,Buenos precios / precios adecuados	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	1. Muy Insatisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Buen servicio / calidad servicio,Lentas respuestas a solución de problemas	6	6	6	5	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	3	Si	Si	Si	Si	Si	No	2	5	7. Muy Satisfecho	2	3	NA	2.Call center	3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center	2.Call center	NA	NA	NA	Sí	No	No	Sí	NA	NA	2	NA	NA	6	6	6	6	7. Muy Satisfecho	SI	Problemas técnicos	4	5	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas	6	6	6	5	6	6	Ns/Nr	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	6	No	PEQUEÑA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Caro	7. En absoluto acuerdo	6	4	4	5	5	3	7. Muy Satisfecho	No	No	No	Si	No	Si	NA	NA	NA	7. Muy Satisfecho	NA	5	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	No	Sí	No	Sí	NA	NA	NA	6	NA	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Señal de internet, se cae, lento	6	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Rápida solución de problemas	6	5	6	Ns/Nr	6	6	6	7. Muy Satisfecho	No	Si	No	No	No	No	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	5	5	6	7. Muy Satisfecho	NO	NA	6	6	No	PEQUEÑA	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio	6	7. Muy Satisfecho	7. Muy Satisfecho	2	2	2	2	7. Muy Satisfecho	Si	Si	Si	Si	No	Si	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	Sí	NA	No	Sí	No	No	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	2	3	No	GGEE	NA	NA	Hombre	REGIONES	AP	GGEE	EMPRESAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Siempre se puede mejorar	7. En absoluto acuerdo	5	5	5	5	5	5	5	No	No	No	No	No	Si	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	5	NO	NA	5	6	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	VTR	Entel	6	No solucionan problemas	7. En absoluto acuerdo	7. Muy Satisfecho	5	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	No	Si	Si	Si	No	Si	NA	7. Muy Satisfecho	7. Muy Satisfecho	4	NA	4	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center	NA	2.Call center	No	Sí	Sí	No	No	No	NA	4	4	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	4	7. Muy Satisfecho	NO	NA	5	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala señal	6	6	5	5	5	5	5	6	No	Si	Si	No	Si	No	NA	6	6	NA	5	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	NA	NA	Sí	Sí	No	Sí	NA	NA	6	6	NA	6	6	5	5	6	SI	Señal de internet, se cae, lento	5	5	No	MEDIANA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala señal,Mal servicio internet / señal	6	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	7. Muy Satisfecho	No	No	Si	Si	No	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	2.Call center	2.Call center	NA	NA	NA	NA	Sí	Sí	Sí	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Mala señal,Problemas con llamadas	7. Muy Satisfecho	6	No	MEDIANA	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala cobertura	6	5	5	6	6	5	5	5	Si	Si	No	Si	No	No	6	6	NA	6	NA	NA	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	6	NA	6	5	6	5	6	NO	NA	6	6	No	MEDIANA	NA	NA	Mujer	SANTIAGO	MasPrem	Masivo Premium	PEQUENAS	Fijo	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Buena cobertura,Solucionan requerimientos	6	6	5	4	4	6	Ns/Nr	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	5	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena cobertura,Buen servicio internet,Caro	7. En absoluto acuerdo	6	5	6	5	5	Ns/Nr	5	No	Si	Si	Si	No	No	NA	6	6	7. Muy Satisfecho	NA	NA	NA	5.App Administradores Empresa	5.App Administradores Empresa	2.Call center	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	7. Muy Satisfecho	NA	6	6	6	7. Muy Satisfecho	6	NO	NA	6	5	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,WOM (no mencionar)	NA	Entel	5	Caro	6	6	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	4	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	Sí	No	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	6	6	7. Muy Satisfecho	5	NO	NA	6	6	No	MEDIANA	NA	NA	Mujer	REGIONES	MV	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena cobertura	6	6	6	5	Ns/Nr	Ns/Nr	Ns/Nr	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Sí	No	No	NA	NA	NA	6	NA	NA	6	6	6	7. Muy Satisfecho	NO	NA	6	6	No	MEDIANA	NA	NA	Hombre	REGIONES	AP	GGEE	EMPRESAS	Móvil	Stock Movil
