encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
25vCMESPehzh	6	Malas señal telefónica,Mal servicio internet / señal	MICRO	agricultura	montepatria , ovalle	Hombre	REGIONES	Mas
fYOQ9K26AG2x	7	Buen servicio / calidad servicio	MICRO	SERVICIOS ADMINISTRATIVOS	COPIAPO	Mujer	REGIONES	Mas
uLL28JMP5jVG	5	Mal servicio / calidad servicio	MICRO	MEDIO DE COMUNICACIÓN	SAN CARLOS ÑUBLE	Hombre	REGIONES	Mas
jH0PrT90t8ZJ	7	Buen servicio / calidad servicio	MICRO	ventas de insumos clínicos	la reina / santiago	Hombre	SANTIAGO	Mas
qQiqP7sW3WiX	6	Siempre se puede mejorar	PEQUEÑA	TRANSPORTE DE PASAJEROS	CURICO	Mujer	REGIONES	Mas
ChLQFcg2l0Xt	6	Caro	PEQUEÑA	FARMACEUTICO AGROPRECUARIO	MILIPILLA	Mujer	SANTIAGO	Mas
WEDmKZfP2aB5	7	Buena conexión / conectividad,Cobros claros	MICRO	MECANICA AUTOMOTRIZ	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas
MY0dDkcJNEbY	5	Buena cobertura,No solucionan problemas	PEQUEÑA	AGRICOLA	SAN PALO, CASA MATRIZ	Hombre	SANTIAGO	Mas
rhnvrbghOmbt	6	No ha tenido problemas,Buena atencion	PEQUEÑA	ES UNA VIÑA	CAUQUENES SEPTIMA REGION	Hombre	REGIONES	Mas
atymZ0cGWggm	1	Mal servicio / calidad servicio,Mal servicio postventa	PEQUEÑA	Ganadería, Agrícola y Servicios	Futrono	Hombre	REGIONES	Mas
OD81NVldyFOt	1	Mala señal	PEQUEÑA	RESIDENCIAL	SAN CLEMENTE	Mujer	REGIONES	Mas
vI3PwwiGS2qI	7	No ha tenido problemas,Rápida solución de problemas	PEQUEÑA	INVERSIONES	LAS CONDES	Hombre	SANTIAGO	Mas
KnOhuV6LNJPZ	6	Lentas respuestas a solución de problemas	MICRO	AGRICOLA	OSORNO	Hombre	REGIONES	Mas
jVfSPG7Dv7lb	7	Buena conexión / conectividad,No ha tenido problemas	PEQUEÑA	COSMETICOS CAPILAR	VIÑA	Mujer	REGIONES	MP
575nfYPXJyZk	5	Cobros poco claros	MICRO	TAPICERIA	MACUL	Hombre	SANTIAGO	Mas
iuIpdfXMJfeB	6	Siempre se puede mejorar	MICRO	CAPACITACION Y ENTRENAMIENTO	LOS ANGELES	Hombre	REGIONES	Mas
ijsxTHbc576E	1	Cobros poco claros,Problema facturación	PEQUEÑA	CONSULTORIA Y CAPACITACION	SANTIAGO	Hombre	SANTIAGO	MV
vUnmMbZA0V5r	7	Buen servicio / calidad servicio,Buena conexión / conectividad,Buenos precios / precios adecuados	PEQUEÑA	EXPORTACIONES HE IMPORTACIONES Y COMERCIALIZADORA.	LO BARNECHEA	Hombre	SANTIAGO	Mas
nsIPvCXhCnL2	6	Buen servicio / calidad servicio	MICRO	Constructora y forestal	Chillan	Hombre	REGIONES	Mas
fJhxp1Ab6aqd	6	Mal servicio postventa	PEQUEÑA	SERVICIO DE CONSTRUCCIONES	CONCEPCION	Hombre	REGIONES	Mas
tPFfyHZLFdTT	6	Buen servicio / calidad servicio,Siempre se puede mejorar	PEQUEÑA	CONFECCCIONES	SANTIAGO	Hombre	SANTIAGO	MP
0W8dyqiJDYbt	6	Buen servicio / calidad servicio	PEQUEÑA	consultoria	LA REINA	Mujer	SANTIAGO	Mas
UF7zaptY5Fy5	7	Buena cobertura,Buenos planes	PEQUEÑA	mecanica	quinta normal	Mujer	SANTIAGO	MasPrem
VZMupgd37AZC	7	No ha tenido problemas	MICRO	REPARACION DE VEHICULOS.	SANTIAGO	Hombre	SANTIAGO	Mas
P1guvG38Drvz	6	Buen servicio / calidad servicio,Cobros poco claros	MICRO	CENTRO DE FOTOCOPIADO	PUERTO MONT	Hombre	REGIONES	Mas
4R3ZdMSPyrcd	5	Mala señal	MICRO	APICOLA, GANADERA Y TRANSPORTE DE CARGA	VILLA RICA	Hombre	REGIONES	Mas
2oDZ876YAcC4	6	Buen servicio / calidad servicio	PEQUEÑA	ADMINISTRACIION	VITACURA	Hombre	REGIONES	Mas
1alnbN06We8F	7	No ha tenido problemas	GGEE	Insumos médicos	San Bernardo	Mujer	SANTIAGO	AP
fbBIboUccYnj	5	No solucionan problemas	MEDIANA	COMERCIALIZADORA, IMPORTADORA, EXPORTADORA, REPARADORA EN SERVICIO MECÁNICO	PUDHAHUEL	Hombre	SANTIAGO	MasPrem
bFh1on0XAKbr	6	Caro	MICRO	contratista	2 region, comuna maria elena	Mujer	REGIONES	Mas
EMPdasPWk6s1	6	Buen servicio / calidad servicio	PEQUEÑA	EDUCACION	LINARES REGION DEL MAULE	Mujer	REGIONES	Mas
bXNHH2szPFIt	7	Buena cobertura,Buena señal,Buen servicio / calidad servicio	PEQUEÑA	agrícola	Quillota	Hombre	REGIONES	Mas
AjqfBRxTlI4A	5	Mala atencion con ejecutivos,Mala señal	PEQUEÑA	ITICA	SANTIAGO	Mujer	SANTIAGO	Mas
UZjuLUjPyYUo	7	Solucionan requerimientos	MICRO	RESTAURANTE	LA SERENA	Mujer	REGIONES	Mas
n2U3NMepO8OQ	6	Mala atencion con ejecutivos	GGEE	ACOPIO Y ALMACENAMIENTO Y OTROS SERVICIOS.	PUERTO MONTT	Mujer	REGIONES	AP
8ABZIUXsJISi	6	No solucionan problemas	PEQUEÑA	TRIBUNALES	SANTIAGO CENTRO	Mujer	SANTIAGO	MV
KDRscv2kmcgq	5	Mala señal	PEQUEÑA	CONSTRUCCION Y FERRETERIA.	CURICO	Mujer	REGIONES	Mas
wsQi3c3roi0p	6	Demora atención telefónica	MICRO	MANTENCIÓN DE JARDINES ,JARDINERÍA	MELIPILLA	Mujer	SANTIAGO	Mas
XejTf1OICiFV	7	Buena cobertura,Buen servicio telefonico	MICRO	SERVICIOS	SANTIAGO	Hombre	SANTIAGO	Mas
vCTxm63XxNpU	7	No ha tenido problemas,Buena atencion	PEQUEÑA	AGRICOLA.	LA SERENA.	Mujer	REGIONES	Mas
9SFr6UYx1tUG	5	Buen servicio / calidad servicio,Caro	MICRO	MINIMARKET	VALPARAISO	Mujer	REGIONES	Mas
01tBDKx0IYBg	5	Caro	PEQUEÑA	CAPACITACIÓN	SANTIAGO	Hombre	SANTIAGO	Mas
